Portfolio_Index,Top_Assets,Weights,Return,Risk
40488,"['BCHN.L', 'EWW', 'DBO', 'PSCC', 'VPL']","[11.1, 10.654, 7.193, 6.0, 5.86]",1.0604,0.2413
11727,"['BCHN.L', 'EWJ', 'EWC', 'VNQ', 'EMXC']","[10.349, 8.391, 8.317, 6.704, 5.449]",1.3064,0.244
87575,"['EWS', 'EWQ', 'VGK', 'BCHN.L', 'EWH']","[14.24, 10.882, 8.513, 7.971, 5.56]",1.3121,0.2765
66073,"['BCHN.L', 'IEMG', 'EWH', 'VDNR.L', 'EWU']","[16.138, 7.068, 6.825, 5.902, 5.825]",1.3207,0.2817
28485,"['BCHN.L', 'SLV', 'INDA', 'IDUP.L', 'EWH']","[8.151, 7.998, 7.571, 7.103, 6.517]",1.3706,0.2952
61806,"['KSA', 'BCHN.L', 'EWJ', 'SLV', 'EWH']","[19.861, 11.532, 9.913, 6.155, 5.628]",1.649,0.3136
67853,"['BCHN.L', 'VDNR.L', 'TLT', 'EWU', 'AIEQ']","[14.999, 7.069, 6.951, 6.38, 5.953]",1.7203,0.389
48916,"['BCHN.L', 'IEMG', 'DBO', 'EDEN', 'EWU']","[12.177, 7.143, 7.074, 6.664, 6.047]",1.8182,0.4225
23245,"['USO', 'KSA', 'EWA', 'SLV', 'SPY']","[9.981, 8.288, 7.858, 6.902, 6.16]",1.8645,0.4328
21832,"['EWS', 'SEMI.AS', 'BCHN.L', 'EDEN', 'TLT']","[13.47, 10.828, 9.901, 5.542, 4.833]",1.8839,0.4448
27414,"['EWJ', 'BCHN.L', 'EWG', 'IEMG', 'ASHR.L']","[16.154, 12.235, 10.8, 5.933, 5.244]",1.8981,0.4474
70579,"['DBO', 'PSCC', 'EMXC', 'VDE', 'USO']","[16.603, 8.057, 7.174, 7.094, 5.767]",1.9216,0.4586
52616,"['TLT', 'DBO', 'BCHN.L', 'EWG', 'AIEQ']","[13.171, 11.561, 10.719, 6.274, 5.88]",2.0229,0.4589
26400,"['VDE', 'EWQ', 'IDUP.L', 'EWC', 'BCHN.L']","[16.43, 7.603, 7.174, 7.072, 6.185]",2.025,0.4978
88884,"['BCHN.L', 'EWC', 'VDE', 'EWG', 'EWQ']","[10.294, 8.959, 8.398, 7.566, 7.351]",2.3038,0.5154
87504,"['VPL', 'GLD', 'BCHN.L', 'EWC', 'TLT']","[8.907, 8.885, 7.445, 5.736, 5.482]",2.417,0.5811
488,"['VGK', 'EWW', 'IDUP.L', 'EWQ', 'BCHN.L']","[13.59, 10.934, 9.877, 6.005, 5.715]",2.5122,0.6183
6571,"['BCHN.L', 'EWQ', 'EWH', 'VDE', 'EWS']","[18.583, 13.391, 7.008, 6.436, 5.24]",3.2889,0.6876
1323,"['BCHN.L', 'EWS', 'EDEN', 'TLT', 'PSCC']","[11.502, 10.182, 8.138, 7.713, 7.137]",3.3965,0.8505
82954,"['BCHN.L', 'GLD', 'EWU', 'INDA', 'EWJ']","[13.361, 8.551, 8.048, 6.529, 6.344]",3.5127,0.9553
96163,"['VGK', 'VNQ', 'ASHR.L', 'GLD', 'EWQ']","[8.813, 7.141, 6.934, 6.792, 6.493]",3.774,1.0898
63938,"['BCHN.L', 'EWG', 'SLV', 'ASHR.L', 'PSCC']","[16.393, 14.4, 13.079, 8.578, 5.232]",4.4227,1.3404
51001,"['BCHN.L', 'TLT', 'PSCC', 'EMXC', 'EWQ']","[11.17, 8.979, 5.095, 4.991, 4.852]",5.5631,1.4356
