Date,AIEQ,ASHR.L,BCHN.L,CORN,DBO,EDEN,EMXC,EWA,EWC,EWG,EWH,EWJ,EWQ,EWS,EWU,EWW,GLD,IDUP.L,IEMG,INDA,KSA,PSCC,SEMI.AS,SLV,SPY,TLT,USO,VDE,VDNR.L,VGK,VNQ,VPL,XMAF.L
2012-09-20,21.902437210083008,6.2466230392456055,40.0,48.279998779296875,23.005268096923828,26.422042846679688,42.75700759887695,13.754952430725098,21.99530029296875,17.570140838623047,12.23823356628418,30.35862922668457,15.933053970336914,16.223705291748047,21.661954879760742,49.00615310668945,171.47000122070312,15.14715576171875,35.379615783691406,21.283891677856445,20.759973526000977,10.136490821838379,5.195000171661377,33.58000183105469,116.69334411621094,86.83928680419922,276.0799865722656,73.34894561767578,42.30094909667969,30.902297973632812,39.99007034301758,35.95361328125,8.572500228881836
2012-09-21,21.902437210083008,6.2466230392456055,40.0,48.380001068115234,23.040380477905273,26.52422523498535,42.75700759887695,13.749256134033203,21.919403076171875,17.690946578979492,12.197687149047852,30.521665573120117,15.961971282958984,16.259496688842773,21.637645721435547,48.82482147216797,171.9600067138672,15.153828620910645,35.379615783691406,21.283891677856445,20.759973526000977,10.105807304382324,5.195000171661377,33.47999954223633,116.64451599121094,86.93941497802734,275.9200134277344,73.50423431396484,42.30094909667969,31.025083541870117,39.99608612060547,36.02292251586914,8.587499618530273
2012-09-24,21.902437210083008,6.2466230392456055,40.0,48.119998931884766,22.794618606567383,26.490171432495117,42.75700759887695,13.675276756286621,21.752426147460938,17.577682495117188,12.244990348815918,30.456457138061523,15.853534698486328,16.140207290649414,21.601173400878906,48.9003791809082,171.0500030517578,15.140486717224121,35.379615783691406,21.283891677856445,20.759973526000977,10.130910873413086,5.195000171661377,32.93000030517578,116.4686050415039,87.61888885498047,272.7200012207031,73.09236907958984,42.30094909667969,30.88493537902832,39.847652435302734,35.90263748168945,8.517499923706055
2012-09-25,21.902437210083008,6.2466230392456055,40.0,48.130001068115234,22.592737197875977,26.294321060180664,42.75700759887695,13.48747444152832,21.570270538330078,17.381376266479492,12.096321105957031,30.456457138061523,15.7017240524292,16.008987426757812,21.455303192138672,48.605751037597656,170.77000427246094,15.10048770904541,35.379615783691406,22.059595108032227,20.759973526000977,10.18949031829834,5.195000171661377,32.68000030517578,115.2291488647461,88.48442840576172,270.0,72.29568481445312,42.30094909667969,30.607288360595703,39.25997543334961,35.70569610595703,8.635000228881836
2012-09-26,21.902437210083008,6.2466230392456055,40.0,46.88999938964844,22.3820858001709,26.072933197021484,42.75700759887695,13.441948890686035,21.486780166625977,17.162403106689453,12.076048851013184,30.130373001098633,15.455928802490234,15.853909492492676,21.248655319213867,48.71151351928711,169.80999755859375,14.940486907958984,35.379615783691406,21.667387008666992,20.759973526000977,10.019342422485352,5.195000171661377,32.869998931884766,114.5814208984375,89.43573760986328,266.7200012207031,71.55305480957031,42.30094909667969,30.170974731445312,39.2539176940918,35.480587005615234,8.444999694824219
2012-09-27,21.902437210083008,6.2466230392456055,40.0,46.22999954223633,22.908721923828125,26.166593551635742,42.75700759887695,13.692346572875977,21.782787322998047,17.34362030029297,12.305807113647461,30.48906135559082,15.643890380859375,16.128278732299805,21.46746253967285,49.4216423034668,172.33999633789062,14.940486907958984,35.379615783691406,22.138038635253906,20.759973526000977,10.11696720123291,5.195000171661377,33.58000183105469,115.66097259521484,88.79910278320312,273.20001220703125,72.55899047851562,42.30094909667969,30.58084487915039,39.42354202270508,35.99407958984375,8.44124984741211
2012-09-28,21.902437210083008,6.2466230392456055,40.0,48.41999816894531,22.917499542236328,25.77490997314453,42.75700759887695,13.5386962890625,21.623397827148438,17.041595458984375,12.299052238464355,29.90210723876953,15.166759490966797,15.997054100036621,21.151403427124023,49.39896774291992,171.88999938964844,14.887145042419434,35.379615783691406,22.138038635253906,20.759973526000977,10.024916648864746,5.195000171661377,33.47999954223633,115.12525177001953,88.84915924072266,272.9599914550781,72.22817993164062,42.30094909667969,29.919757843017578,39.362953186035156,35.42432403564453,8.436249732971191
2012-10-01,21.902437210083008,6.2466230392456055,40.0,48.36000061035156,23.0228271484375,26.115507125854492,42.75700759887695,13.669584274291992,21.782787322998047,17.162403106689453,12.393660545349121,29.804279327392578,15.42701530456543,16.068632125854492,21.285118103027344,49.95045471191406,172.2899932861328,14.840479850769043,35.379615783691406,22.76557731628418,20.759973526000977,10.130910873413086,5.195000171661377,33.650001525878906,115.42906188964844,89.17887878417969,274.0,72.56576538085938,42.30094909667969,30.256921768188477,39.07215118408203,35.51576232910156,8.427499771118164
2012-10-02,21.902437210083008,6.2466230392456055,40.0,48.380001068115234,22.908721923828125,26.413532257080078,42.75700759887695,13.652509689331055,21.805551528930664,17.298311233520508,12.380147933959961,29.67385482788086,15.477614402770996,16.0805606842041,21.29728126525879,49.822025299072266,172.10000610351562,14.820483207702637,35.379615783691406,22.844011306762695,20.759973526000977,10.133703231811523,5.195000171661377,33.5,115.54903411865234,89.05701446533203,272.1600036621094,72.572509765625,42.30094909667969,30.461856842041016,39.36902618408203,35.47355270385742,8.483750343322754
2012-10-03,21.902437210083008,6.2466230392456055,40.0,48.290000915527344,21.987104415893555,26.413532257080078,42.75700759887695,13.550077438354492,21.653762817382812,17.298311233520508,12.427449226379395,29.54342269897461,15.383637428283691,16.044775009155273,21.248655319213867,49.625614166259766,172.41000366210938,14.820483207702637,35.379615783691406,23.009618759155273,20.759973526000977,10.072335243225098,5.195000171661377,33.5099983215332,116.02082824707031,89.08574676513672,260.8800048828125,71.64080047607422,42.30094909667969,30.309799194335938,39.447784423828125,35.311763763427734,8.425000190734863
2012-10-04,21.902437210083008,6.2466230392456055,40.0,48.119998931884766,22.812171936035156,26.541255950927734,42.75700759887695,13.675276756286621,21.980119705200195,17.49462890625,12.434208869934082,29.90210723876953,15.607741355895996,16.187923431396484,21.55255126953125,50.607696533203125,173.61000061035156,14.853814125061035,35.379615783691406,23.584854125976562,20.759973526000977,10.075126647949219,5.195000171661377,33.93000030517578,116.85247802734375,87.97474670410156,271.5199890136719,72.41046142578125,42.30094909667969,30.746110916137695,39.4356575012207,35.642372131347656,8.447500228881836
2012-10-05,21.902437210083008,6.2466230392456055,40.0,47.720001220703125,22.52252197265625,26.805219650268555,42.75700759887695,13.66389274597168,21.93458366394043,17.607891082763672,12.467992782592773,29.90210723876953,15.723405838012695,16.187923431396484,21.4796199798584,51.05341339111328,172.6199951171875,15.000489234924316,35.379615783691406,23.279804229736328,20.759973526000977,10.038864135742188,5.195000171661377,33.45000076293945,116.86041259765625,86.83509826660156,266.79998779296875,72.19442749023438,42.30094909667969,30.81220817565918,39.484130859375,35.58610153198242,8.393750190734863
2012-10-08,21.902437210083008,6.2466230392456055,40.0,47.45000076293945,22.452302932739258,26.626407623291016,42.75700759887695,13.66389274597168,21.88144874572754,17.381376266479492,12.386900901794434,29.73906707763672,15.57159423828125,16.008987426757812,21.345897674560547,50.82677459716797,172.0500030517578,14.880481719970703,35.379615783691406,22.70456314086914,20.759973526000977,10.02213191986084,5.195000171661377,32.970001220703125,116.4605941772461,87.56620788574219,265.760009765625,72.28221130371094,42.30094909667969,30.574228286743164,39.399314880371094,35.45948791503906,8.12874984741211
2012-10-09,21.902437210083008,6.2466230392456055,40.0,47.41999816894531,23.05793571472168,26.081445693969727,42.75700759887695,13.641132354736328,21.729658126831055,17.04914665222168,12.33959674835205,29.249942779541016,15.25351619720459,15.865836143493652,21.11494255065918,50.3659553527832,170.99000549316406,14.887145042419434,35.379615783691406,22.477956771850586,20.759973526000977,9.85755729675293,5.195000171661377,32.83000183105469,115.30909729003906,87.40848541259766,273.44000244140625,72.39697265625,42.30094909667969,30.032163619995117,39.2539176940918,35.09368896484375,8.164999961853027
2012-10-10,21.902437210083008,6.2466230392456055,40.0,47.349998474121094,22.908721923828125,25.962230682373047,42.75700759887695,13.66389274597168,21.53232765197754,17.0264949798584,12.305807113647461,29.021678924560547,15.23182487487793,15.746541976928711,21.042001724243164,49.912681579589844,170.83999633789062,14.920482635498047,35.379615783691406,22.094457626342773,20.759973526000977,9.798979759216309,5.195000171661377,32.95000076293945,114.57340240478516,88.02489471435547,270.7200012207031,71.12093353271484,42.30094909667969,30.025543212890625,39.411441802978516,34.90378189086914,8.3462495803833
2012-10-11,21.902437210083008,6.2466230392456055,40.0,49.2400016784668,23.18959617614746,25.962230682373047,42.75700759887695,13.743568420410156,21.646167755126953,17.19260597229004,12.265263557434082,29.184720993041992,15.383637428283691,15.806190490722656,21.200031280517578,50.32063293457031,171.32000732421875,14.920482635498047,35.379615783691406,22.399513244628906,20.759973526000977,9.779454231262207,5.195000171661377,32.900001525878906,114.63740539550781,88.63412475585938,274.32000732421875,71.70832824707031,42.30094909667969,30.270137786865234,39.38113784790039,35.03744125366211,8.43375015258789
